episode,reward
1,-2096
2,-2123
3,-1555
4,-1928
5,-1474
6,-1870
7,-1850
8,-1859
9,-1615
10,-1818
11,-1576
12,-1781
13,-2057
14,-1538
15,-1542
16,-1234
17,-2051
18,-1817
19,-2143
20,-1741
21,-2193
22,-1287
23,-1899
24,-1576
25,-1677
26,-1421
27,-1987
28,-1152
29,-1715
30,-1648
31,-1679
32,-1507
33,-1808
34,-1543
35,-1516
36,-1485
37,-1762
38,-1593
39,-1344
40,-776
41,-1766
42,-1702
43,-1343
44,-1111
45,-1200
46,-1462
47,-1461
48,-1200
49,-1169
50,-1486
51,-918
52,-1463
53,-1319
54,-1044
55,-1395
56,-1024
57,-1068
58,-1443
59,-1138
60,-1610
61,-1321
62,-1449
63,-1500
64,-1151
65,-1153
66,-973
67,-893
68,-1222
69,-1253
70,-1140
71,-1069
72,-977
73,-977
74,-1193
75,-1061
76,-961
77,-1032
78,-776
79,-949
80,-1298
81,-1284
82,-1319
83,-1094
84,-1232
85,-1160
86,-658
87,-815
88,-556
89,-932
90,-218
91,-333
92,-1138
93,-1227
94,-674
95,-901
96,-1124
97,-800
98,-884
99,-779
100,-972
101,-760
102,-1046
103,-855
104,-737
105,-1242
106,-721
107,-1129
108,-1259
109,-645
110,-671
111,-1074
112,-519
113,-559
114,-604
115,-304
116,-667
117,-867
118,-914
119,-602
120,-1181
121,-523
122,-933
123,-520
124,-785
125,-768
126,-644
127,-820
128,-318
129,-262
130,-725
131,-582
132,-399
133,-1174
134,-476
135,-734
136,-453
137,-450
138,-765
139,-598
140,-602
141,-595
142,-458
143,-495
144,-194
145,-429
146,-982
147,-587
148,-539
149,-751
150,-584
151,-129
152,-442
153,-814
154,-431
155,-597
156,-746
157,-344
158,-99
159,-817
160,-794
161,-386
162,-415
163,-562
164,-440
165,-900
166,-693
167,-347
168,-493
169,-370
170,-557
171,-542
172,-415
173,-98
174,-399
175,-485
176,-489
177,-509
178,-276
179,-480
180,-828
181,-678
182,-553
183,-358
184,-269
185,-492
186,-444
187,-340
188,-255
189,-733
190,-542
191,-542
192,-672
193,-264
194,-614
195,-184
196,-339
197,-433
198,-171
199,-231
200,-199
